# dataset=entso_e_eic_directory
# created_at=2026-08-13T01:15:13Z
# source=https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
# source_sha256=b53840e8e377b11d12c63241a6a06e68ee36c221897930dae97c0c6ff1903a98
# record_count=76256
# active_record_count=72916
# inactive_record_count=3340
eic_code	status
10V1001C--00032D	active
10V1001C--00033B	active
10V1001C--000349	active
10V1001C--000357	active
10V1001C--000365	active
10V1001C--000373	active
10V1001C--000381	active
10V1001C--00040E	active
10V1001C--00041C	active
10V1001C--00042A	active
10V1001C--000438	active
10V1001C--000446	active
10V1001C--000454	active
10V1001C--000462	active
10V1001C--000470	active
10V1001C--00048Z	active
10V1001C--00049X	active
10V1001C--00050B	active
10V1001C--000519	active
10V1001C--000535	active
10V1001C--000543	active
10V1001C--000551	active
10V1001C--000608	active
10V1001C--00066X	active
10V1001C--00067V	active
10V1001C--00068T	active
10V1001C--00069R	active
10V1001C--000705	active
10V1001C--000713	active
10V1001C--000721	active
10V1001C--00074Y	active
10V1001C--00075W	active
10V1001C--00076U	active
10V1001C--00077S	active
10V1001C--00078Q	active
10V1001C--00079O	active
10V1001C--000802	active
10V1001C--000810	active
10V1001C--00082Z	active
10V1001C--00083X	active
10V1001C--00084V	active
10V1001C--00085T	active
10V1001C--00086R	active
10V1001C--00087P	active
10V1001C--00088N	active
10V1001C--00089L	active
10V1001C--00190W	active
10V1001C--00191U	active
10V1001C--00192S	active
10V1001C--00193Q	active
10V1001C--00194O	active
10V1001C--00195M	active
10V1001C--00196K	active
10V1001C--00197I	active
10V1001C--00198G	active
10V1001C--00199E	active
10V1001C--00200I	active
10V1001C--00201G	active
10V1001C--00202E	active
10V1001C--00203C	active
10V1001C--00204A	active
10V1001C--002058	active
10V1001C--002066	active
10V1001C--002074	active
10V1001C--002082	active
10V1001C--002090	active
10V1001C--00210F	active
10V1001C--00211D	active
10V1001C--00212B	active
10V1001C--002139	active
10V1001C--002147	active
10V1001C--002155	active
10V1001C--002163	active
10V1001C--002171	active
10V1001C--00228X	active
10V1001C--00229V	active
10V1001C--002309	active
10V1001C--002317	active
10V1001C--002325	active
10V1001C--002333	active
10V1001C--002341	active
10V1001C--00236Y	active
10V1001C--00237W	active
10V1001C--00238U	active
10V1001C--00239S	active
10V1001C--002406	active
10V1001C--002414	active
10V1001C--002422	active
10V1001C--002430	active
10V1001C--00244Z	active
10V1001C--00245X	active
10V1001C--00246V	active
10V1001C--00247T	active
10V1001C--00248R	active
10V1001C--00249P	active
10V1001C--002503	active
10V1001C--002511	active
10V1001C--00254W	active
10V1001C--00255U	active
10V1001C--00256S	active
10V1001C--00257Q	active
10V1001C--00258O	active
10V1001C--00259M	active
10V1001C--002600	active
10V1001C--00261Z	active
10V1001C--00262X	active
10V1001C--00263V	active
10V1001C--00264T	active
10V1001C--00265R	active
10V1001C--00266P	active
10V1001C--00267N	active
10V1001C--00268L	active
10V1001C--00269J	active
10V1001C--00270Y	active
10V1001C--00271W	active
10V1001C--00272U	active
10V1001C--00273S	active
10V1001C--00274Q	active
10V1001C--00275O	active
10V1001C--00276M	active
10V1001C--00277K	active
10V1001C--00278I	active
10V1001C--00279G	active
10V1001C--00280V	active
10V1001C--00281T	active
10V1001C--00282R	active
10V1001C--00283P	active
10V1001C--00284N	active
10V1001C--00285L	active
10V1001C--00286J	active
10V1001C--00287H	active
10V1001C--00288F	active
10V1001C--00289D	active
10V1001C--00290S	active
10V1001C--00291Q	active
10V1001C--00292O	active
