# source=https://www.bundesbank.de/resource/blob/926192/b27b518a016ea7ca7af321eb7289fcf4/472B63F073F071307366337C94F8C870/blz-aktuell-csv-data.csv
# source_sha256=3a5484358b326d6d9ed8bea003601a7d79abbc100cdb81fd0d30e0c8a21898a6
# valid_from=2026-06-08
# valid_to=2026-09-06
# synthetic_non_routable_bank_code=00000000
bank_code,bic,change_marker,deletion_flag,successor_bank_code
25471073,DEUTDE2H264,U,0,00000000
25480021,DRESDEFF254,U,0,00000000
25491273,GENODED1AEZ,M,1,00000000
25541426,COBADEFFXXX,U,0,00000000
25551480,NOLADE21SHG,U,0,00000000
25591413,GENODEF1BCK,U,0,00000000
25621327,OLBODEH2XXX,U,0,00000000
25641302,COBADEFFXXX,U,0,00000000
25650106,NOLADE21NIB,U,0,00000000
25651325,BRLADE21DHZ,U,0,00000000
25662540,GENODEF1STY,U,0,00000000
25663584,GENODEF1HOY,U,0,00000000
25690009,GENODEF1NIN,U,0,00000000
25691633,GENODEF1SUL,U,0,00000000
25691699,GENODEF1SUL,U,0,00000000
25740061,COBADEFFXXX,U,0,00000000
25750001,NOLADE21CEL,U,0,00000000
25761894,GENODEF1WIK,U,0,00000000
25770024,DEUTDEDB257,U,0,00000000
25770069,DEUTDE2H257,U,0,00000000
25780022,DRESDEFF257,U,0,00000000
25791516,GENODEF1HKB,U,0,00000000
25791635,GENODEF1HMN,U,0,00000000
25840048,COBADEFFXXX,U,0,00000000
25841403,COBADEFFXXX,U,0,00000000
25841708,COBADEFFXXX,U,0,00000000
25850110,NOLADE21UEL,U,0,00000000
25851660,NOLADE21SOL,U,0,00000000
25861990,GENODEF1CLZ,U,0,00000000
25862292,GENODEF1EUB,U,0,00000000
25863489,GENODEF1WOT,U,0,00000000
25891636,GENODEF1SOL,U,0,00000000
25940033,COBADEFFXXX,U,0,00000000
25950001,NOLADE21HIS,U,0,00000000
25950130,NOLADE21HIK,U,0,00000000
25970024,DEUTDEDB259,U,0,00000000
25970074,DEUTDE2H259,U,0,00000000
25971024,DEUTDEDB253,U,0,00000000
25971071,DEUTDE2H253,U,0,00000000
25980027,DRESDEFF259,U,0,00000000
25990011,GENODEF1HIH,U,0,00000000
25991528,GENODEF1SLD,U,0,00000000
